,id,popularity,artist_ids
1150,https://open.spotify.com/track/6ZIuit0z4eQg77F1RGkp0L  ,0,['3YQKmKGau1PzlVlkL1iodx']
1164,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4  ,1,['7n2wHs1TKAczGzO7Dd2rGr']
1185,https://open.spotify.com/track/3Du2K5dLzmduCNp6uwuaL0  ,2,['6S2OmqARrzebs0tKUEyXyp']
1199,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi  ,0,['49tQo2QULno7gxHutgccqF']
1202,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq  ,1,['4O15NlyKLIASxsJ0PrXPfz']
1206,https://open.spotify.com/track/4JAyIDXOqNM6qHuZML01uX  ,0,['0LyfQWJT6nXafLPZqxe9Of']
1231,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh  ,1,['1Hsdzj7Dlq2I7tHP7501T4']
1249,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2  ,2,"['4V8Sr092TqfHkfAA5fXXqG', '4VMYDCV2IEDYJArk749S6m']"
1265,https://open.spotify.com/track/4q8PHoRsPUB52LFylX8Ulz  ,1,['2XnBwblw31dfGnspMIwgWz']
1279,https://open.spotify.com/track/1CKd1PnqfYx0H12V9MSaIY  ,0,"['2qxJFvFYMEDqd7ui6kSAcq', '5pUo3fmmHT8bhCyHE52hA6']"
1283,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn  ,2,['1r4hJ1h58CWwUQe3MxPuau']
1313,https://open.spotify.com/track/5wIeuNURiubue1VTcglU57  ,0,"['6LqNN22kT3074XbTVUrhzX', '4LFgxG38Y0l4Fo1gdQelay']"
1314,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6  ,0,"['3E6xrwgnVfYCrCs0ePERDz', '1i8SpTcr7yvPOmcqrbnVXY']"
1328,https://open.spotify.com/track/2MnJoNVtf0pw7HUn3I1Tih  ,0,['1URnnhqYAYcrqrcwql10ft']
